config_label,difficulty,pass_at_1
"01: 1.5b, q4_K_M, T=0.4, p=0.85, pred=192, ctx=1024, th=1",easy,0.7296587926509186
"01: 1.5b, q4_K_M, T=0.4, p=0.85, pred=192, ctx=1024, th=1",hard,0.2641509433962264
"01: 1.5b, q4_K_M, T=0.4, p=0.85, pred=192, ctx=1024, th=1",medium,0.3888888888888889
"02: 7b, q4_K_M, T=0.4, p=0.95, pred=192, ctx=1024, th=1",easy,0.84251968503937
"02: 7b, q4_K_M, T=0.4, p=0.95, pred=192, ctx=1024, th=1",hard,0.49056603773584906
"02: 7b, q4_K_M, T=0.4, p=0.95, pred=192, ctx=1024, th=1",medium,0.662962962962963
"03: 1.5b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=1024, th=1",easy,0.7007874015748031
"03: 1.5b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=1024, th=1",hard,0.2641509433962264
"03: 1.5b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=1024, th=1",medium,0.40185185185185185
"04: 7b, q4_K_M, T=0.4, p=0.98, pred=192, ctx=1024, th=1",easy,0.8398950131233596
"04: 7b, q4_K_M, T=0.4, p=0.98, pred=192, ctx=1024, th=1",hard,0.41509433962264153
"04: 7b, q4_K_M, T=0.4, p=0.98, pred=192, ctx=1024, th=1",medium,0.6777777777777778
"05: 7b, q4_K_M, T=0.4, p=0.98, pred=192, ctx=768, th=1",easy,0.8398950131233596
"05: 7b, q4_K_M, T=0.4, p=0.98, pred=192, ctx=768, th=1",hard,0.4339622641509434
"05: 7b, q4_K_M, T=0.4, p=0.98, pred=192, ctx=768, th=1",medium,0.6462962962962963
"06: 32b, q4_K_M, T=0.4, p=0.98, pred=256, ctx=1024, th=1",easy,0.9002624671916011
"06: 32b, q4_K_M, T=0.4, p=0.98, pred=256, ctx=1024, th=1",hard,0.6415094339622641
"06: 32b, q4_K_M, T=0.4, p=0.98, pred=256, ctx=1024, th=1",medium,0.7833333333333333
"07: 32b, q4_K_M, T=0.4, p=0.85, pred=256, ctx=1024, th=1",easy,0.910761154855643
"07: 32b, q4_K_M, T=0.4, p=0.85, pred=256, ctx=1024, th=1",hard,0.6226415094339622
"07: 32b, q4_K_M, T=0.4, p=0.85, pred=256, ctx=1024, th=1",medium,0.7814814814814814
"08: 1.5b, q4_K_M, T=0.4, p=0.9, pred=192, ctx=1024, th=1",easy,0.6929133858267716
"08: 1.5b, q4_K_M, T=0.4, p=0.9, pred=192, ctx=1024, th=1",hard,0.22641509433962265
"08: 1.5b, q4_K_M, T=0.4, p=0.9, pred=192, ctx=1024, th=1",medium,0.3851851851851852
"09: 7b, q4_K_M, T=0.4, p=0.98, pred=192, ctx=1024, th=1",easy,0.847769028871391
"09: 7b, q4_K_M, T=0.4, p=0.98, pred=192, ctx=1024, th=1",hard,0.4716981132075472
"09: 7b, q4_K_M, T=0.4, p=0.98, pred=192, ctx=1024, th=1",medium,0.6925925925925925
"10: 32b, q4_K_M, T=0.4, p=0.98, pred=256, ctx=1024, th=1",easy,0.89501312335958
"10: 32b, q4_K_M, T=0.4, p=0.98, pred=256, ctx=1024, th=1",hard,0.6415094339622641
"10: 32b, q4_K_M, T=0.4, p=0.98, pred=256, ctx=1024, th=1",medium,0.7759259259259259
"11: 7b, q4_K_M, T=0.5, p=0.95, pred=192, ctx=1024, th=1",easy,0.8608923884514436
"11: 7b, q4_K_M, T=0.5, p=0.95, pred=192, ctx=1024, th=1",hard,0.4339622641509434
"11: 7b, q4_K_M, T=0.5, p=0.95, pred=192, ctx=1024, th=1",medium,0.6481481481481481
