model_size,quantization,difficulty,pass_at_1
1.5b,q4_K_M,easy,0.7077865266841645
1.5b,q4_K_M,hard,0.25157232704402516
1.5b,q4_K_M,medium,0.39197530864197533
32b,q4_K_M,easy,0.9020122484689413
32b,q4_K_M,hard,0.6352201257861635
32b,q4_K_M,medium,0.7802469135802469
7b,q4_K_M,easy,0.8461942257217848
7b,q4_K_M,hard,0.4490566037735849
7b,q4_K_M,medium,0.6655555555555556
