config_label,difficulty,pass_at_1
"01: 1.5b, q4_K_M, T=0.1, p=0.9, pred=192, ctx=1024, th=1",easy,0.7165354330708661
"01: 1.5b, q4_K_M, T=0.1, p=0.9, pred=192, ctx=1024, th=1",hard,0.1509433962264151
"01: 1.5b, q4_K_M, T=0.1, p=0.9, pred=192, ctx=1024, th=1",medium,0.40185185185185185
"02: 7b, q4_K_M, T=0.1, p=0.95, pred=192, ctx=1024, th=1",easy,0.8398950131233596
"02: 7b, q4_K_M, T=0.1, p=0.95, pred=192, ctx=1024, th=1",hard,0.5283018867924528
"02: 7b, q4_K_M, T=0.1, p=0.95, pred=192, ctx=1024, th=1",medium,0.6462962962962963
"03: 7b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",easy,0.8451443569553806
"03: 7b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",hard,0.4339622641509434
"03: 7b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",medium,0.6592592592592592
"04: 1.5b, q4_K_M, T=0.2, p=0.95, pred=256, ctx=1024, th=1",easy,0.7244094488188977
"04: 1.5b, q4_K_M, T=0.2, p=0.95, pred=256, ctx=1024, th=1",hard,0.24528301886792453
"04: 1.5b, q4_K_M, T=0.2, p=0.95, pred=256, ctx=1024, th=1",medium,0.412962962962963
"05: 32b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=1024, th=1",easy,0.8923884514435696
"05: 32b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=1024, th=1",hard,0.6415094339622641
"05: 32b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=1024, th=1",medium,0.7907407407407407
"06: 1.5b, q4_K_M, T=0.4, p=0.95, pred=256, ctx=1024, th=1",easy,0.7086614173228346
"06: 1.5b, q4_K_M, T=0.4, p=0.95, pred=256, ctx=1024, th=1",hard,0.24528301886792453
"06: 1.5b, q4_K_M, T=0.4, p=0.95, pred=256, ctx=1024, th=1",medium,0.4
"07: 7b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",easy,0.8372703412073491
"07: 7b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",hard,0.4339622641509434
"07: 7b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",medium,0.6611111111111111
"08: 7b, q4_K_M, T=0.5, p=0.95, pred=256, ctx=1024, th=1",easy,0.8346456692913385
"08: 7b, q4_K_M, T=0.5, p=0.95, pred=256, ctx=1024, th=1",hard,0.5094339622641509
"08: 7b, q4_K_M, T=0.5, p=0.95, pred=256, ctx=1024, th=1",medium,0.6388888888888888
"09: 7b, q8_0, T=0.4, p=0.9, pred=192, ctx=1024, th=1",easy,0.8530183727034121
"09: 7b, q8_0, T=0.4, p=0.9, pred=192, ctx=1024, th=1",hard,0.4716981132075472
"09: 7b, q8_0, T=0.4, p=0.9, pred=192, ctx=1024, th=1",medium,0.7
"10: 7b, q4_K_M, T=0.5, p=0.9, pred=256, ctx=1024, th=1",easy,0.8372703412073491
"10: 7b, q4_K_M, T=0.5, p=0.9, pred=256, ctx=1024, th=1",hard,0.4716981132075472
"10: 7b, q4_K_M, T=0.5, p=0.9, pred=256, ctx=1024, th=1",medium,0.6685185185185185
"11: 7b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",easy,0.8556430446194225
"11: 7b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",hard,0.49056603773584906
"11: 7b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",medium,0.6592592592592592
"12: 1.5b, q4_K_M, T=0.1, p=0.95, pred=192, ctx=1024, th=1",easy,0.7086614173228346
"12: 1.5b, q4_K_M, T=0.1, p=0.95, pred=192, ctx=1024, th=1",hard,0.18867924528301888
"12: 1.5b, q4_K_M, T=0.1, p=0.95, pred=192, ctx=1024, th=1",medium,0.412962962962963
"13: 32b, q4_K_M, T=0.4, p=0.95, pred=128, ctx=1024, th=1",easy,0.9028871391076115
"13: 32b, q4_K_M, T=0.4, p=0.95, pred=128, ctx=1024, th=1",hard,0.3018867924528302
"13: 32b, q4_K_M, T=0.4, p=0.95, pred=128, ctx=1024, th=1",medium,0.7703703703703704
"14: 32b, q4_K_M, T=0.4, p=0.9, pred=128, ctx=1024, th=1",easy,0.9028871391076115
"14: 32b, q4_K_M, T=0.4, p=0.9, pred=128, ctx=1024, th=1",hard,0.3018867924528302
"14: 32b, q4_K_M, T=0.4, p=0.9, pred=128, ctx=1024, th=1",medium,0.7481481481481481
"15: 1.5b, q4_K_M, T=0.1, p=0.85, pred=256, ctx=1024, th=1",easy,0.7427821522309711
"15: 1.5b, q4_K_M, T=0.1, p=0.85, pred=256, ctx=1024, th=1",hard,0.3018867924528302
"15: 1.5b, q4_K_M, T=0.1, p=0.85, pred=256, ctx=1024, th=1",medium,0.4166666666666667
"16: 1.5b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",easy,0.7086614173228346
"16: 1.5b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",hard,0.22641509433962265
"16: 1.5b, q4_K_M, T=0.4, p=0.9, pred=256, ctx=2048, th=1",medium,0.3851851851851852
"17: 1.5b, q4_K_M, T=0.2, p=0.95, pred=256, ctx=1024, th=1",easy,0.7296587926509186
"17: 1.5b, q4_K_M, T=0.2, p=0.95, pred=256, ctx=1024, th=1",hard,0.24528301886792453
"17: 1.5b, q4_K_M, T=0.2, p=0.95, pred=256, ctx=1024, th=1",medium,0.4111111111111111
"18: 32b, q4_K_M, T=0.4, p=0.95, pred=192, ctx=1024, th=1",easy,0.8923884514435696
"18: 32b, q4_K_M, T=0.4, p=0.95, pred=192, ctx=1024, th=1",hard,0.49056603773584906
"18: 32b, q4_K_M, T=0.4, p=0.95, pred=192, ctx=1024, th=1",medium,0.7944444444444444
"19: 32b, q4_K_M, T=0.4, p=0.85, pred=128, ctx=1024, th=1",easy,0.9028871391076115
"19: 32b, q4_K_M, T=0.4, p=0.85, pred=128, ctx=1024, th=1",hard,0.3018867924528302
"19: 32b, q4_K_M, T=0.4, p=0.85, pred=128, ctx=1024, th=1",medium,0.7648148148148148
