model_size,quantization,difficulty,pass_at_1
1.5b,q4_K_M,easy,0.7270341207349081
1.5b,q4_K_M,hard,0.2358490566037736
1.5b,q4_K_M,medium,0.41388888888888886
32b,q4_K_M,easy,0.8930446194225722
32b,q4_K_M,hard,0.33962264150943394
32b,q4_K_M,medium,0.7680555555555556
7b,q4_K_M,easy,0.8403324584426947
7b,q4_K_M,hard,0.4716981132075472
7b,q4_K_M,medium,0.6524691358024691
