config_label,difficulty,pass_at_1
"01: 7b, q4_K_M, T=0.1, p=0.9, pred=384, ctx=512, th=1",easy,0.8267716535433071
"01: 7b, q4_K_M, T=0.1, p=0.9, pred=384, ctx=512, th=1",hard,0.5094339622641509
"01: 7b, q4_K_M, T=0.1, p=0.9, pred=384, ctx=512, th=1",medium,0.6611111111111111
"02: 32b, q4_K_M, T=0.2, p=0.9, pred=128, ctx=2048, th=1",easy,0.8871391076115486
"02: 32b, q4_K_M, T=0.2, p=0.9, pred=128, ctx=2048, th=1",hard,0.2641509433962264
"02: 32b, q4_K_M, T=0.2, p=0.9, pred=128, ctx=2048, th=1",medium,0.762962962962963
"03: 7b, q4_K_M, T=0.1, p=0.8, pred=384, ctx=1024, th=1",easy,0.8398950131233596
"03: 7b, q4_K_M, T=0.1, p=0.8, pred=384, ctx=1024, th=1",hard,0.49056603773584906
"03: 7b, q4_K_M, T=0.1, p=0.8, pred=384, ctx=1024, th=1",medium,0.6555555555555556
"04: 7b, q4_K_M, T=0.1, p=0.9, pred=192, ctx=512, th=1",easy,0.84251968503937
"04: 7b, q4_K_M, T=0.1, p=0.9, pred=192, ctx=512, th=1",hard,0.4528301886792453
"04: 7b, q4_K_M, T=0.1, p=0.9, pred=192, ctx=512, th=1",medium,0.65
"05: 7b, q4_K_M, T=0.2, p=0.9, pred=384, ctx=512, th=1",easy,0.8451443569553806
"05: 7b, q4_K_M, T=0.2, p=0.9, pred=384, ctx=512, th=1",hard,0.49056603773584906
"05: 7b, q4_K_M, T=0.2, p=0.9, pred=384, ctx=512, th=1",medium,0.6462962962962963
"06: 1.5b, q4_K_M, T=0.1, p=0.8, pred=384, ctx=512, th=1",easy,0.7559055118110236
"06: 1.5b, q4_K_M, T=0.1, p=0.8, pred=384, ctx=512, th=1",hard,0.32075471698113206
"06: 1.5b, q4_K_M, T=0.1, p=0.8, pred=384, ctx=512, th=1",medium,0.44074074074074077
"07: 32b, q4_K_M, T=0.2, p=0.8, pred=128, ctx=512, th=1",easy,0.8792650918635171
"07: 32b, q4_K_M, T=0.2, p=0.8, pred=128, ctx=512, th=1",hard,0.2641509433962264
"07: 32b, q4_K_M, T=0.2, p=0.8, pred=128, ctx=512, th=1",medium,0.7648148148148148
"08: 1.5b, q4_K_M, T=0.0, p=0.85, pred=384, ctx=1024, th=1",easy,0.7427821522309711
"08: 1.5b, q4_K_M, T=0.0, p=0.85, pred=384, ctx=1024, th=1",hard,0.2830188679245283
"08: 1.5b, q4_K_M, T=0.0, p=0.85, pred=384, ctx=1024, th=1",medium,0.42407407407407405
"09: 1.5b, q4_K_M, T=0.1, p=0.8, pred=192, ctx=1024, th=1",easy,0.7165354330708661
"09: 1.5b, q4_K_M, T=0.1, p=0.8, pred=192, ctx=1024, th=1",hard,0.1509433962264151
"09: 1.5b, q4_K_M, T=0.1, p=0.8, pred=192, ctx=1024, th=1",medium,0.40555555555555556
"10: 7b, q4_K_M, T=0.2, p=0.9, pred=384, ctx=512, th=1",easy,0.8346456692913385
"10: 7b, q4_K_M, T=0.2, p=0.9, pred=384, ctx=512, th=1",hard,0.49056603773584906
"10: 7b, q4_K_M, T=0.2, p=0.9, pred=384, ctx=512, th=1",medium,0.6555555555555556
"11: 1.5b, q4_K_M, T=0.1, p=0.8, pred=384, ctx=512, th=1",easy,0.7165354330708661
"11: 1.5b, q4_K_M, T=0.1, p=0.8, pred=384, ctx=512, th=1",hard,0.2641509433962264
"11: 1.5b, q4_K_M, T=0.1, p=0.8, pred=384, ctx=512, th=1",medium,0.4111111111111111
"12: 1.5b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=512, th=1",easy,0.7165354330708661
"12: 1.5b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=512, th=1",hard,0.20754716981132076
"12: 1.5b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=512, th=1",medium,0.4111111111111111
"13: 32b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=512, th=1",easy,0.9028871391076115
"13: 32b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=512, th=1",hard,0.5471698113207547
"13: 32b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=512, th=1",medium,0.7833333333333333
"14: 7b, q4_K_M, T=0.2, p=0.95, pred=192, ctx=512, th=1",easy,0.8530183727034121
"14: 7b, q4_K_M, T=0.2, p=0.95, pred=192, ctx=512, th=1",hard,0.39622641509433965
"14: 7b, q4_K_M, T=0.2, p=0.95, pred=192, ctx=512, th=1",medium,0.6462962962962963
"15: 1.5b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=1024, th=1",easy,0.7139107611548556
"15: 1.5b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=1024, th=1",hard,0.18867924528301888
"15: 1.5b, q4_K_M, T=0.2, p=0.9, pred=192, ctx=1024, th=1",medium,0.3907407407407407
"16: 32b, q4_K_M, T=0.2, p=0.8, pred=128, ctx=512, th=1",easy,0.9028871391076115
"16: 32b, q4_K_M, T=0.2, p=0.8, pred=128, ctx=512, th=1",hard,0.2830188679245283
"16: 32b, q4_K_M, T=0.2, p=0.8, pred=128, ctx=512, th=1",medium,0.7611111111111111
