model_size,quantization,difficulty,pass_at_1
1.5b,q4_K_M,easy,0.7158792650918635
1.5b,q4_K_M,hard,0.2169811320754717
1.5b,q4_K_M,medium,0.4097222222222222
1.5b,q8_0,easy,0.7244094488188977
1.5b,q8_0,hard,0.32075471698113206
1.5b,q8_0,medium,0.412962962962963
32b,q4_K_M,easy,0.8967629046369204
32b,q4_K_M,hard,0.46540880503144655
32b,q4_K_M,medium,0.7672839506172839
7b,q4_K_M,easy,0.8642669666291714
7b,q4_K_M,hard,0.3611859838274933
7b,q4_K_M,medium,0.6518518518518519
